"","GRTS_ID","deployment_ID","Date","Broadscale_habitat","Mixed","Main_habitat","Secondary_habitat","Relief_score","Lat","Lon","TimeIN","TimeOUT","Depth","Temp","Rug_mean","Rug_range","Remoteness","Aspect_mean","Exposure","Slope_mean","MCZ","SAC","Time_high_tide","Time_low_tide","Height_of_tide","Habitat"
"1585",273,"3019","16/06/2022","Circalittoral rock","N","Circalittoral_rock","","3","49.96732","-6.35268","13:51:00","15:01:00","25.5","13.3","9.298016775","19.24701214","156.2","261.2628911","171.3","8.490715925","0","1","NA","13.11","0.75","Reefs"
"1586",273,"3019","16/06/2022","Circalittoral rock","N","Circalittoral_rock","","3","49.96732","-6.35268","13:51:00","15:01:00","25.5","13.3","9.298016775","19.24701214","156.2","261.2628911","171.3","8.490715925","0","1","NA","13.11","0.75","Reefs"
"1587",273,"3019","16/06/2022","Circalittoral rock","N","Circalittoral_rock","","3","49.96732","-6.35268","13:51:00","15:01:00","25.5","13.3","9.298016775","19.24701214","156.2","261.2628911","171.3","8.490715925","0","1","NA","13.11","0.75","Reefs"
"1588",273,"3019","16/06/2022","Circalittoral rock","N","Circalittoral_rock","","3","49.96732","-6.35268","13:51:00","15:01:00","25.5","13.3","9.298016775","19.24701214","156.2","261.2628911","171.3","8.490715925","0","1","NA","13.11","0.75","Reefs"
"1589",273,"3019","16/06/2022","Circalittoral rock","N","Circalittoral_rock","","3","49.96732","-6.35268","13:51:00","15:01:00","25.5","13.3","9.298016775","19.24701214","156.2","261.2628911","171.3","8.490715925","0","1","NA","13.11","0.75","Reefs"
"1590",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
"1591",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
"1592",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
"1593",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
"1594",274,"3146","12/06/2023","Circalittoral rock","N","Circalittoral_rock","","4","49.88732","-6.4457","10:07:00","11:26:00","30.9","13.3","6.469820859","8.623608112","6474.3","137.6329471","47.6","5.760400616","1","1","12:50:00","NA","4.5","Reefs"
